version,n,rep,tiempo_ms
seq_O0,1000,1,9839
seq_O0,1000,2,8734.12
seq_O0,1000,3,9025.77
seq_O0,1000,4,8671.11
seq_O0,1000,5,8815.84
seq_O0,1000,6,20455.7
seq_O0,1000,7,-1802.87
seq_O0,1000,8,9620.91
seq_O0,1000,9,11076.4
seq_O0,1000,10,11431.4
seq_O0,2000,1,95797.9
seq_O0,2000,2,96885.5
seq_O0,2000,3,88361.9
seq_O0,2000,4,95822.9
seq_O0,2000,5,101363
seq_O0,2000,6,93961.5
seq_O0,2000,7,104652
seq_O0,2000,8,124497
seq_O0,2000,9,101753
seq_O0,2000,10,86434.2
seq_O0,3000,1,347037
seq_O0,3000,2,329902
seq_O0,3000,3,388151
